REGION,YEAR,WEEK,%UNWEIGHTED ILI,ILITOTAL
Alabama,2010,40,2.13477,249
Alaska,2010,40,0.875146,15
Arizona,2010,40,0.674721,172
Arkansas,2010,40,0.696056,18
California,2010,40,1.95412,632
Colorado,2010,40,0.660684,134
Connecticut,2010,40,0.0783085,3
Delaware,2010,40,0.100125,4
District of Columbia,2010,40,2.80877,73
Florida,2010,40,X,X
Georgia,2010,40,1.6049,647
Hawaii,2010,40,1.02934,20
Idaho,2010,40,0.414938,19
Illinois,2010,40,1.28205,505
Indiana,2010,40,0.518962,65
Iowa,2010,40,0.563063,10
Kansas,2010,40,0.442227,39
Kentucky,2010,40,0.142932,19
Louisiana,2010,40,2.28108,391
Maine,2010,40,0.357724,22
Maryland,2010,40,1.3192,117
Massachusetts,2010,40,0.604621,168
Michigan,2010,40,0.671831,98
Minnesota,2010,40,0.5748,38
Mississippi,2010,40,2.9098,491
Missouri,2010,40,1.10176,106
Montana,2010,40,0.0371195,1
Nebraska,2010,40,2.19978,61
Nevada,2010,40,1.66683,175
New Hampshire,2010,40,0.0759301,3
New Jersey,2010,40,2.31534,163
New Mexico,2010,40,2.13191,160
New York,2010,40,0.26299,37
North Carolina,2010,40,0.53143,134
North Dakota,2010,40,0.671355,42
Ohio,2010,40,0.228257,29
Oklahoma,2010,40,0.624179,19
Oregon,2010,40,0.551334,37
Pennsylvania,2010,40,0.703292,122
Rhode Island,2010,40,0.235036,15
South Carolina,2010,40,0.446127,33
South Dakota,2010,40,1.10275,63
Tennessee,2010,40,0.274655,32
Texas,2010,40,2.06514,1050
Utah,2010,40,0.747696,43
Vermont,2010,40,1.47641,41
Virginia,2010,40,1.14343,660
Washington,2010,40,0.510041,16
West Virginia,2010,40,1.59741,143
Wisconsin,2010,40,0.465022,23
Wyoming,2010,40,0.632911,32
New York City,2010,40,1.18222,1059
Alabama,2010,41,2.05999,239
Alaska,2010,41,1.12827,19
Arizona,2010,41,0.749939,183
Arkansas,2010,41,0.674157,18
California,2010,41,2.15266,742
Colorado,2010,41,0.628621,115
Connecticut,2010,41,0.238095,9
Delaware,2010,41,0.36855,15
District of Columbia,2010,41,2.89079,81
Florida,2010,41,X,X
Georgia,2010,41,1.71307,702
Hawaii,2010,41,1.75246,32
Idaho,2010,41,1.45798,68
Illinois,2010,41,1.45089,600
Indiana,2010,41,0.653137,84
Iowa,2010,41,0.860956,20
Kansas,2010,41,0.57749,49
Kentucky,2010,41,0.223975,23
Louisiana,2010,41,2.04776,325
Maine,2010,41,0.434855,26
Maryland,2010,41,2.09879,99
Massachusetts,2010,41,0.887866,216
Michigan,2010,41,0.585011,95
Minnesota,2010,41,0.541293,35
Mississippi,2010,41,2.97075,523
Missouri,2010,41,0.930521,90
Montana,2010,41,0.180963,5
Nebraska,2010,41,2.73532,68
Nevada,2010,41,1.63633,187
New Hampshire,2010,41,0.0924642,4
New Jersey,2010,41,2.47836,189
New Mexico,2010,41,1.9635,142
New York,2010,41,0.369729,47
North Carolina,2010,41,0.53653,141
North Dakota,2010,41,0.721961,43
